Fecha,Clics,Impresiones,CTR,Posición
2026-04-03,1,12,8.33%,8.9
2026-04-04,0,17,0%,13.2
2026-04-05,1,23,4.35%,10.4
2026-04-06,0,73,0%,5.3
2026-04-07,2,49,4.08%,5.7
2026-04-08,2,71,2.82%,4.9
2026-04-09,2,64,3.12%,5.4
2026-04-10,1,37,2.7%,5.4
2026-04-11,1,27,3.7%,5.1
2026-04-12,0,22,0%,4.6
2026-04-13,1,60,1.67%,5.2
2026-04-14,3,57,5.26%,4.8
2026-04-15,4,62,6.45%,5
2026-04-16,0,54,0%,4.6
2026-04-17,2,61,3.28%,5.8
2026-04-18,0,43,0%,4.7
2026-04-19,0,27,0%,4.8
2026-04-20,7,67,10.45%,5.3
2026-04-21,1,88,1.14%,5.8
2026-04-22,2,88,2.27%,5.4
2026-04-23,0,75,0%,5.7
2026-04-24,3,90,3.33%,7.3
2026-04-25,0,50,0%,8
2026-04-26,1,43,2.33%,7.5
2026-04-27,0,90,0%,6
2026-04-28,2,96,2.08%,6.5
2026-04-29,0,104,0%,6.1
2026-04-30,4,96,4.17%,6.6
2026-05-01,1,30,3.33%,6.9
2026-05-02,0,46,0%,6.1
2026-05-03,1,44,2.27%,5.4
2026-05-04,2,130,1.54%,6.2
2026-05-05,2,122,1.64%,6.7
2026-05-06,3,126,2.38%,5.9
2026-05-07,4,130,3.08%,6.9
2026-05-08,1,127,0.79%,6.2
2026-05-09,0,58,0%,7.1
2026-05-10,2,46,4.35%,5.5
2026-05-11,1,115,0.87%,6.6
2026-05-12,2,124,1.61%,6.5
2026-05-13,7,144,4.86%,6.5
2026-05-14,2,152,1.32%,7.1
2026-05-15,2,139,1.44%,7.3
2026-05-16,2,66,3.03%,10.4
2026-05-17,4,69,5.8%,8
2026-05-18,0,211,0%,7.7
2026-05-19,3,213,1.41%,7.1
2026-05-20,7,239,2.93%,7.2
2026-05-21,3,224,1.34%,9.3
2026-05-22,2,185,1.08%,7.1
2026-05-23,3,105,2.86%,8.7
2026-05-24,2,61,3.28%,8.9
2026-05-25,4,100,4%,9.2
2026-05-26,2,234,0.85%,7
2026-05-27,6,243,2.47%,6.9
2026-05-28,7,247,2.83%,6.5
2026-05-29,3,219,1.37%,6.3
2026-05-30,4,111,3.6%,7.8
2026-05-31,1,86,1.16%,6.5
2026-06-01,11,277,3.97%,6.5
2026-06-02,8,299,2.68%,6.6
2026-06-03,8,256,3.12%,6.9
2026-06-04,4,277,1.44%,6.5
2026-06-05,6,276,2.17%,6.2
2026-06-06,1,141,0.71%,7.9
2026-06-07,0,130,0%,7
2026-06-08,6,371,1.62%,6.6
2026-06-09,12,436,2.75%,7.1
2026-06-10,10,364,2.75%,6.9
2026-06-11,7,348,2.01%,6.9
2026-06-12,4,329,1.22%,7.6
2026-06-13,1,182,0.55%,7.7
2026-06-14,2,160,1.25%,7.8
2026-06-15,1,244,0.41%,7.6
2026-06-16,7,405,1.73%,7.2
2026-06-17,11,594,1.85%,7.4
2026-06-18,7,581,1.2%,6.7
2026-06-19,8,476,1.68%,6.9
2026-06-20,6,203,2.96%,8.2
2026-06-21,3,155,1.94%,7.2
2026-06-22,9,408,2.21%,6.9
2026-06-23,14,647,2.16%,7.2
2026-06-24,12,847,1.42%,6.6
2026-06-25,20,1005,1.99%,6.5
2026-06-26,9,738,1.22%,6.5
2026-06-27,8,348,2.3%,7
2026-06-28,6,236,2.54%,7.3
2026-06-29,13,857,1.52%,6.3
2026-06-30,28,1019,2.75%,6.4
2026-07-01,23,1202,1.91%,6.3
2026-07-02,11,1088,1.01%,6.6
2026-07-03,18,1005,1.79%,6.4
2026-07-04,9,444,2.03%,8.1
2026-07-05,5,416,1.2%,7.3
2026-07-06,24,1129,2.13%,7.3
2026-07-07,7,818,0.86%,7.4
2026-07-08,11,983,1.12%,7.7
2026-07-09,2,526,0.38%,7.9
2026-07-10,9,663,1.36%,7.1
2026-07-11,1,369,0.27%,10
2026-07-12,5,295,1.69%,9.7
2026-07-13,20,987,2.03%,7.6
2026-07-14,9,841,1.07%,7.2
2026-07-15,4,593,0.67%,7.2
2026-07-16,11,815,1.35%,8.2
2026-07-17,26,790,3.29%,7
2026-07-18,8,332,2.41%,9.2
2026-07-19,1,196,0.51%,10.1
2026-07-20,16,790,2.03%,7.5
2026-07-21,19,923,2.06%,6.9
2026-07-22,18,806,2.23%,6.8
2026-07-23,12,779,1.54%,6.4
2026-07-24,14,777,1.8%,6.5
2026-07-25,6,301,1.99%,6.9
2026-07-26,2,229,0.87%,8.3
2026-07-27,13,932,1.39%,7.5
2026-07-28,15,958,1.57%,6.9
2026-07-29,18,1022,1.76%,6.8
2026-07-30,20,1013,1.97%,6.9
2026-07-31,15,869,1.73%,6.7
2026-08-01,8,376,2.13%,7.6
2026-08-02,4,294,1.36%,7.5
2026-08-03,16,1089,1.47%,6.7
2026-08-04,12,972,1.23%,6.5
2026-08-05,10,937,1.07%,6.5
2026-08-06,13,843,1.54%,6.3
2026-08-07,10,848,1.18%,6.5
2026-08-08,9,395,2.28%,7.1
2026-08-09,4,304,1.32%,7.4
2026-08-10,26,1102,2.36%,6.6
2026-08-11,17,1228,1.38%,6.5
2026-08-12,17,1303,1.3%,6.5
2026-08-13,22,1260,1.75%,6.9
2026-08-14,16,1147,1.39%,6.6
2026-08-15,3,431,0.7%,7.5
2026-08-16,3,246,1.22%,6.7
2026-08-17,5,429,1.17%,7.9
2026-08-18,15,1236,1.21%,6.1
2026-08-19,21,1365,1.54%,6.5
2026-08-20,19,1414,1.34%,6.5
2026-08-21,22,1326,1.66%,6.9
2026-08-22,5,546,0.92%,8.5
2026-08-23,7,467,1.5%,7.6
2026-08-24,21,1539,1.36%,6.4
2026-08-25,24,1631,1.47%,6.7
2026-08-26,22,1574,1.4%,6.7
2026-08-27,21,1540,1.36%,6.8
2026-08-28,12,1210,0.99%,7
2026-08-29,11,460,2.39%,8.2
2026-08-30,5,351,1.42%,9.3
2026-08-31,21,1301,1.61%,7
