Fecha,Clics,Impresiones,CTR,Posición
2026-06-21,3,155,1.94%,7.2
2026-06-22,9,408,2.21%,6.9
2026-06-23,14,647,2.16%,7.2
2026-06-24,12,847,1.42%,6.6
2026-06-25,20,1005,1.99%,6.5
2026-06-26,9,738,1.22%,6.5
2026-06-27,8,348,2.3%,7
2026-06-28,6,236,2.54%,7.3
2026-06-29,13,857,1.52%,6.3
2026-06-30,28,1019,2.75%,6.4
2026-07-01,23,1202,1.91%,6.3
2026-07-02,11,1088,1.01%,6.6
2026-07-03,18,1005,1.79%,6.4
2026-07-04,9,444,2.03%,8.1
2026-07-05,5,416,1.2%,7.3
2026-07-06,24,1129,2.13%,7.3
2026-07-07,7,818,0.86%,7.4
2026-07-08,11,983,1.12%,7.7
2026-07-09,2,526,0.38%,7.9
2026-07-10,9,663,1.36%,7.1
2026-07-11,1,369,0.27%,10
2026-07-12,5,295,1.69%,9.7
2026-07-13,20,987,2.03%,7.6
2026-07-14,9,841,1.07%,7.2
2026-07-15,4,593,0.67%,7.2
2026-07-16,11,815,1.35%,8.2
2026-07-17,26,790,3.29%,7
2026-07-18,8,332,2.41%,9.2
2026-07-19,1,196,0.51%,10.1
2026-07-20,16,790,2.03%,7.5
2026-07-21,19,923,2.06%,6.9
2026-07-22,18,806,2.23%,6.8
2026-07-23,12,779,1.54%,6.4
2026-07-24,14,777,1.8%,6.5
2026-07-25,6,301,1.99%,6.9
2026-07-26,2,229,0.87%,8.3
2026-07-27,13,932,1.39%,7.5
2026-07-28,15,958,1.57%,6.9
2026-07-29,18,1022,1.76%,6.8
2026-07-30,20,1013,1.97%,6.9
2026-07-31,15,869,1.73%,6.7
2026-08-01,8,376,2.13%,7.6
2026-08-02,4,294,1.36%,7.5
2026-08-03,16,1089,1.47%,6.7
2026-08-04,12,972,1.23%,6.5
2026-08-05,10,937,1.07%,6.5
2026-08-06,13,843,1.54%,6.3
2026-08-07,10,848,1.18%,6.5
2026-08-08,9,395,2.28%,7.1
2026-08-09,4,304,1.32%,7.4
2026-08-10,26,1102,2.36%,6.6
2026-08-11,17,1228,1.38%,6.5
2026-08-12,17,1303,1.3%,6.5
2026-08-13,22,1260,1.75%,6.9
2026-08-14,16,1147,1.39%,6.6
2026-08-15,3,431,0.7%,7.5
2026-08-16,3,246,1.22%,6.7
2026-08-17,5,429,1.17%,7.9
2026-08-18,15,1236,1.21%,6.1
2026-08-19,21,1365,1.54%,6.5
2026-08-20,19,1414,1.34%,6.5
2026-08-21,22,1326,1.66%,6.9
2026-08-22,5,546,0.92%,8.5
2026-08-23,7,467,1.5%,7.6
2026-08-24,21,1539,1.36%,6.4
2026-08-25,24,1631,1.47%,6.7
2026-08-26,22,1574,1.4%,6.7
2026-08-27,21,1540,1.36%,6.8
2026-08-28,12,1210,0.99%,7
2026-08-29,11,460,2.39%,8.2
2026-08-30,5,351,1.42%,9.3
2026-08-31,21,1301,1.61%,7
2026-09-01,17,1168,1.46%,6.4
2026-09-02,24,1143,2.1%,6.9
2026-09-03,17,1178,1.44%,6.3
2026-09-04,28,1092,2.56%,6.9
2026-09-05,10,423,2.36%,8.8
2026-09-06,2,332,0.6%,8.9
2026-09-07,19,1447,1.31%,6.7
2026-09-08,18,1513,1.19%,6.7
2026-09-09,17,1533,1.11%,6.8
2026-09-10,16,1490,1.07%,6.7
2026-09-11,19,1263,1.5%,6.7
2026-09-12,9,522,1.72%,7.3
2026-09-13,8,439,1.82%,7.8
2026-09-14,21,1540,1.36%,6.5
2026-09-15,18,1417,1.27%,6
2026-09-16,23,1393,1.65%,6.1
2026-09-17,20,1292,1.55%,6.2
2026-09-18,19,1217,1.56%,6.2
2026-09-19,3,473,0.63%,7.3
2026-09-20,1,356,0.28%,7.2
