País,Clics,Impresiones,CTR,Posición
Argentina,1199,74637,1.61%,6.74
Estados Unidos,7,2290,0.31%,8.78
México,5,236,2.12%,7.69
Uruguay,2,167,1.2%,6.32
Japón,2,8,25%,6.5
Paraguay,1,605,0.17%,7.01
España,1,253,0.4%,14.47
Perú,1,147,0.68%,7.2
Brasil,1,133,0.75%,13.52
Chile,1,122,0.82%,6.46
República Dominicana,1,66,1.52%,7.02
Francia,1,24,4.17%,10.62
Alemania,1,14,7.14%,6.79
Moldavia,1,1,100%,3
Venezuela,0,86,0%,8.37
Ecuador,0,81,0%,5.99
Italia,0,55,0%,7.69
Colombia,0,54,0%,10.63
Emiratos Árabes Unidos,0,47,0%,6.89
Reino Unido,0,41,0%,11.2
Canadá,0,38,0%,8.21
Guatemala,0,34,0%,6.32
Bolivia,0,30,0%,6.97
Honduras,0,27,0%,7.93
La India,0,27,0%,19.96
Panamá,0,22,0%,5.55
Países Bajos,0,19,0%,9.74
Hong Kong,0,15,0%,7.4
El Salvador,0,15,0%,7.67
Costa Rica,0,15,0%,8.8
Australia,0,13,0%,5.85
China,0,13,0%,9
Vietnam,0,13,0%,22.62
Filipinas,0,12,0%,25.33
Puerto Rico,0,11,0%,6.18
Nicaragua,0,11,0%,8.09
Turquía,0,9,0%,17.78
Suiza,0,8,0%,6.25
Indonesia,0,8,0%,20.38
Suecia,0,7,0%,6
Egipto,0,7,0%,24.86
Austria,0,5,0%,6.4
Irlanda,0,5,0%,8.2
Corea del Sur,0,5,0%,16.4
Islas Vírgenes Británicas,0,5,0%,21
Bangladés,0,5,0%,21.6
Portugal,0,4,0%,6
Nueva Zelanda,0,4,0%,6.75
Aruba,0,4,0%,7.5
Hungría,0,4,0%,9.25
Rumanía,0,4,0%,9.75
Grecia,0,3,0%,3.67
Ucrania,0,3,0%,6
Israel,0,3,0%,8
Pakistán,0,3,0%,9
Rusia,0,3,0%,9
Marruecos,0,3,0%,11.33
Sudáfrica,0,3,0%,11.33
Nepal,0,3,0%,16.33
Iraq,0,3,0%,20.33
Polonia,0,3,0%,23.33
Jamaica,0,2,0%,5
Dinamarca,0,2,0%,6
Islandia,0,2,0%,6
Cuba,0,2,0%,7.5
Irán,0,2,0%,7.5
Túnez,0,2,0%,7.5
Lituania,0,2,0%,8
Tailandia,0,2,0%,8
Kuwait,0,2,0%,8.5
Taiwán,0,2,0%,10.5
Chequia,0,2,0%,11.5
Argelia,0,2,0%,50.5
Malasia,0,2,0%,51.5
Nigeria,0,1,0%,1
Islas Turcas y Caicos,0,1,0%,1
Myanmar (Birmania),0,1,0%,4
Andorra,0,1,0%,5
Curazao,0,1,0%,5
Uzbekistán,0,1,0%,5
Bélgica,0,1,0%,7
Finlandia,0,1,0%,7
Islas Vírgenes de los Estados Unidos,0,1,0%,7
Botsuana,0,1,0%,8
Montenegro,0,1,0%,8
Noruega,0,1,0%,8
Eslovaquia,0,1,0%,8
Bulgaria,0,1,0%,9
Belice,0,1,0%,9
Kenia,0,1,0%,9
Zimbabue,0,1,0%,9
Guyana,0,1,0%,10
Sierra Leona,0,1,0%,11
Bielorrusia,0,1,0%,13
Trinidad y Tobago,0,1,0%,16
Mozambique,0,1,0%,23
Camboya,0,1,0%,29
República Democrática del Congo,0,1,0%,53
